_id,name,building,wkt_geom
419,hall3,ismb,"Polygon ((7.65849818806782245 45.06483131178769952, 7.6585460775411498 45.06486741389620221, 7.65861611457443203 45.06484246485491951, 7.65860845014437519 45.06483236895049771, 7.65857398663817968 45.06484531919437586, 7.65854988332710462 45.06481302287183865, 7.65849818806782245 45.06483131178769952))"
420,corridor1,ismb,"Polygon ((7.65854660612253912 45.06486828605553541, 7.65860200145150394 45.06491242260103292, 7.65869931328416254 45.06487864625063366, 7.65869497891682016 45.0648728318554177, 7.65867055845691169 45.06488171202266813, 7.65864064075061979 45.064879386264586, 7.65862578761375179 45.06485845444181138, 7.65859629277256548 45.06486870892064189, 7.6585754666660657 45.06485813729297973, 7.65854660612253912 45.06486828605553541))"
421,corridor2,ismb,"Polygon ((7.65861304880252547 45.06491009684367555, 7.65862795479753178 45.06492843861766318, 7.65866284116882934 45.06491628124584992, 7.65870121617725452 45.06496818793768711, 7.65869529606576194 45.06497061941205118, 7.6587121049537501 45.06499377127664019, 7.6587190822280089 45.06499165695110776, 7.65872997100450359 45.06500635151353862, 7.65875026852962026 45.06499895137417155, 7.65880164664007168 45.06506851268422054, 7.65878145483123074 45.06507654712125088, 7.65879123358682179 45.06509029023720103, 7.65884261169727587 45.06507221275390407, 7.65881089681428051 45.06502886908045724, 7.65882083414428649 45.06502506329449886, 7.6588138568700268 45.06501650027609429, 7.65880444812140482 45.06502030606205267, 7.65869994758193062 45.06487901625831682, 7.65861304880252547 45.06491009684367555))"
422,corridor3,ismb,"Polygon ((7.65876073444100935 45.06510176045322424, 7.65877484756394189 45.06511830505051819, 7.65880275666098065 45.06510731055774244, 7.65888804326716865 45.06522256772836954, 7.65887770950112401 45.06522626779806018, 7.65888291602775073 45.06523374722463871, 7.65889327622286231 45.06523036430378681, 7.65891753810835585 45.06526361207279052, 7.65890802364345724 45.06526784072386249, 7.65892049816410569 45.06528517819323554, 7.65898234218595064 45.06526403493791832, 7.65884279670076662 45.06507237132835542, 7.65876073444100935 45.06510176045322424))"
423,corridor4,ismb,"Polygon ((7.65893117550805069 45.06528208599216612, 7.65894190571013045 45.0652965691220686, 7.65896209751897139 45.06528901040828572, 7.65901136130389215 45.06535582309514609, 7.65904085614507935 45.06534398287216447, 7.65898292362547473 45.06526469566468052, 7.65893117550805069 45.06528208599216612))"
424,corridor5,ismb,"Polygon ((7.65892710543140254 45.06535814885324243, 7.65895157874944843 45.06539197806178976, 7.65897980499531439 45.06538256931317221, 7.65898213075340095 45.06538616366657379, 7.65905385924711002 45.06536285322757607, 7.65904117329390832 45.06534430002103164, 7.65901136130389393 45.06535656310912685, 7.65898947803462526 45.0653637518159087, 7.6589871522765387 45.06536079176016329, 7.65895575454237498 45.06536998907622404, 7.65894306858917684 45.06535286303940779, 7.65892710543140254 45.06535814885324243))"
425,corridor6,ismb,"Polygon ((7.65900475403660419 45.0653796092574197, 7.65902103434320924 45.06540360685222169, 7.6590447147891787 45.06539567813147329, 7.65906585804450746 45.06542506725639896, 7.65909292141133058 45.06541639852171244, 7.6590554978493941 45.06536332895081642, 7.65900475403660419 45.0653796092574197))"
426,corridor7,ismb,"Polygon ((7.65909302712760276 45.06541676852866374, 7.65906585804450302 45.06542570155404093, 7.65907648253030793 45.0654404225455707, 7.65905303994596043 45.06544813983378361, 7.65907109100019934 45.06547306244598872, 7.65903921754278993 45.06548225976207078, 7.65905232636109456 45.06550128869186267, 7.65909958153675774 45.06548490266898455, 7.65912040764325663 45.06551513752410898, 7.65915391970295545 45.06550139440815173, 7.65909302712760276 45.06541676852866374))"
427,corridor8,ismb,"Polygon ((7.65912077765022392 45.06551566610551873, 7.65914218519624868 45.06554500237231764, 7.65909567003452185 45.06556064838126474, 7.6591199847781537 45.06559511188745404, 7.65917115145605276 45.06557788013434873, 7.65919187184627681 45.06560568351510909, 7.65922030952469601 45.06559405472467716, 7.65915428970992185 45.06550181727329374, 7.65912077765022392 45.06551566610551873))"
428,corridor9,ismb,"Polygon ((7.65919208327883005 45.06560621209650463, 7.65922702250826326 45.06565547588142806, 7.65925609448434308 45.06564500997004075, 7.6592207323898025 45.06559447758979786, 7.65919208327883005 45.06560621209650463))"
429,corridor10,ismb,"Polygon ((7.65921592229921355 45.06564120418408237, 7.65920059343909898 45.06564733572812287, 7.65919758052521438 45.06564342422588965, 7.65916433275620712 45.06565547588144227, 7.65918843606728572 45.06568972795507477, 7.65923294261975585 45.06567450481124126, 7.65922057381538757 45.0656575902069747, 7.65922628249432691 45.0656554230233013, 7.65921592229921355 45.06564120418408237))"
430,toilets1,ismb,"Polygon ((7.65878570991128438 45.06497305088583261, 7.65885384405158831 45.06506539405349088, 7.65891241086885532 45.06504499081210469, 7.65884422387041663 45.06495227763750933, 7.65878570991128438 45.06497305088583261))"
431,toilets2,ismb,"Polygon ((7.65920394993086351 45.065548781729035, 7.65926780256196249 45.06563768911772883, 7.65932467791880356 45.06561792017399881, 7.6592617767341924 45.06552911850160115, 7.65920394993086351 45.065548781729035))"
433,room1,T,"Polygon ((7.6594305271668599 45.06569716269960679, 7.65945022762323369 45.06568942755109219, 7.65944080041098108 45.06567383639236368, 7.65944696435745431 45.06567057312658164, 7.6594375371452017 45.06565703661668465, 7.65940865119996683 45.06566779330758976, 7.6594305271668599 45.06569716269960679))"
434,room2,T,"Polygon ((7.65879431879936323 45.06490797477248123, 7.65884512543730889 45.06489123846821343, 7.65883436638456772 45.06487629533940975, 7.6587841574717741 45.06489362936882515, 7.65879431879936323 45.06490797477248123))"
435,ext_hall,T,"Polygon ((7.65877654453226953 45.06473286766158992, 7.65878923501030151 45.06474954657557674, 7.65883359125256646 45.06473310938498145, 7.6588218676680988 45.06471703477947699, 7.65877654453226953 45.06473286766158992))"
436,help_desk,T,"Polygon ((7.65883586069744826 45.0648329602658535, 7.6588137448668121 45.06484132841798385, 7.65883825159805731 45.06487360557621002, 7.65886754013052062 45.06486224879831326, 7.65885618335262652 45.06484969657011419, 7.6588478152004944 45.0648502942952689, 7.65883586069744826 45.0648329602658535))"
437,room3,T,"Polygon ((7.65939426865819684 45.06570973231594479, 7.65942786820955757 45.0656982504548651, 7.6594063548277509 45.06566851847776434, 7.6593737221699536 45.06568012120053623, 7.65939426865819684 45.06570973231594479))"
438,room4,T,"Polygon ((7.65935970221327 45.06566519478113975, 7.65937082148926063 45.06568042335477742, 7.65943910834724306 45.06565528412210142, 7.65942835165633973 45.06564114330372206, 7.65935970221327 45.06566519478113975))"
439,room5,T,"Polygon ((7.65881015851589897 45.06484312159344086, 7.6587766859073696 45.06485388064618292, 7.65880119263861392 45.06488496235409968, 7.65883346979683832 45.06487360557621002, 7.65881015851589897 45.06484312159344086))"
440,room6,T,"Polygon ((7.65882450391955416 45.06492919401537023, 7.65876114505340944 45.06495071212085435, 7.65877489273191259 45.06497043705088146, 7.65883944704836139 45.06494772349509503, 7.65882450391955416 45.06492919401537023))"
441,office1,T,"Polygon ((7.6589404329914279 45.06486357958530675, 7.65897052755361862 45.06490304092891108, 7.65901228526942912 45.06488914183392325, 7.65900019909987506 45.06487342981350963, 7.6589930682598375 45.06487620963250862, 7.65897530159059325 45.06485046609135026, 7.6589404329914279 45.06486357958530675))"
442,office2,T,"Polygon ((7.65942433300496717 45.0655403144341804, 7.65942965091957184 45.06555010423151941, 7.6594350896958705 45.06554925819964552, 7.65945188947155131 45.06557403484723778, 7.65950796929828392 45.06555518042272723, 7.65948258834221996 45.06551964708423696, 7.65942433300496717 45.0655403144341804))"
443,office3,T,"Polygon ((7.65954821624289828 45.0656121062813213, 7.65948899401208116 45.06563265276956542, 7.65949636657550936 45.06564280515198817, 7.65949999242637602 45.06564171739672986, 7.65951703392544747 45.06566661490600723, 7.65957287202878945 45.06564763961981157, 7.65954821624289828 45.0656121062813213))"
444,service_room,T,"Polygon ((7.65890109250952733 45.06481088388606082, 7.65893952652871057 45.06486285441514639, 7.65897481814380932 45.06484931790524229, 7.65894919546435382 45.06481354284336049, 7.65895548027252282 45.06481185077962692, 7.65894484444331436 45.06479565531242315, 7.65890109250952733 45.06481088388606082))"
445,office4,T,"Polygon ((7.65940173186790041 45.06550139696821589, 7.65940874184624221 45.06551142848894642, 7.65940511599537555 45.06551336227607152, 7.65942288266462068 45.06553922667892209, 7.65948210489543779 45.06551819674389492, 7.65945732824785086 45.06548205909692939, 7.65940173186790041 45.06550139696821589))"
446,office5,T,"Polygon ((7.65947001872588284 45.06560678836672906, 7.65948863142699476 45.06563192759940506, 7.65954737021102972 45.06561113938776941, 7.65952295614853185 45.06557476001740525, 7.65946723890688563 45.06559421875039106, 7.65947509491709599 45.06560412940942228, 7.65947001872588284 45.06560678836672906))"
447,study_room1,T,"Polygon ((7.65878266315889267 45.06489572140684174, 7.65873185652094612 45.06491305543625714, 7.65875994960310447 45.06495071212085435, 7.65882569936985824 45.06492620538961091, 7.65880956079074604 45.0649064804595838, 7.6587928244864818 45.06491066453565253, 7.65878266315889267 45.06489572140684174))"
448,office6,T,"Polygon ((7.6592027633016091 45.06512053155005759, 7.65924319153876798 45.06517558405237622, 7.65928621830238399 45.06516126194144789, 7.6592459109269182 45.06510578642320297, 7.6592027633016091 45.06512053155005759))"
449,laboratory1,T,"Polygon ((7.65908721952066784 45.06501139343900064, 7.65905785012865081 45.06502148539057373, 7.65911604503505394 45.0651025835882848, 7.65914650218233106 45.06509134345059664, 7.65908721952066784 45.06501139343900064))"
450,lab_1t_inner,T,"Polygon ((7.65899261502848461 45.06505067349001337, 7.65894874223300182 45.06506578120195172, 7.65898427557149208 45.0651159388056044, 7.65903008215410352 45.06510107281705757, 7.65902548940967254 45.06509466714719281, 7.65902959870732136 45.06509297508345213, 7.65900204224073633 45.06505454106427067, 7.65899744949630623 45.06505599140461271, 7.65899261502848461 45.06505067349001337))"
451,techn1,T,"Polygon ((7.65936151513870289 45.06566326099400754, 7.6594256926990365 45.0656415058888058, 7.65940973895522603 45.06561600407104606, 7.65940091605145135 45.06561866302834574, 7.65938979677546072 45.06560222583775044, 7.65933190402329522 45.06562180543242846, 7.65936151513870289 45.06566326099400754))"
452,room7,T,"Polygon ((7.65890370250223551 45.06492590652705132, 7.65889234572434141 45.06491156112339524, 7.65889892070101741 45.06490797477248123, 7.65887919577099119 45.06488107714062608, 7.65881464145454149 45.0649049861467148, 7.65884452771215685 45.06494622918222603, 7.65890370250223551 45.06492590652705132))"
453,laboratory2,T,"Polygon ((7.65901947654031456 45.06491234727948836, 7.65898720646760456 45.06492401043311702, 7.65905658108084531 45.06502057892785729, 7.65908619219625386 45.06501018482204302, 7.65907180965448386 45.06499000091888263, 7.65908510444099377 45.06498528731275854, 7.65907410602669891 45.06497066304760324, 7.65906359105918622 45.06497428889846901, 7.65901947654031456 45.06491234727948836))"
454,corridor_11t,T,"Polygon ((7.65928294641846552 45.06543156880633205, 7.65932163857571879 45.06548527267487003, 7.65931085551550073 45.06548971275849169, 7.65932121571061231 45.06550366730701285, 7.659385491206816 45.06548231261912463, 7.65937639960702565 45.06546793520549699, 7.65936434795148724 45.0654706838286927, 7.65932692438955254 45.06541592279738495, 7.65928294641846552 45.06543156880633205))"
455,room8,T,"Polygon ((7.65913595699939886 45.06514331397963957, 7.65917578092808071 45.06519891035960512, 7.65924101602825047 45.06517615814543376, 7.65920082951448311 45.06512089413513422, 7.65913595699939886 45.06514331397963957))"
456,east_corridor,T,"Polygon ((7.65933432125720692 45.06540516084316295, 7.65935414257527203 45.06539899689668971, 7.65934948939999316 45.06539277251936682, 7.65935311525085982 45.0653911408864758, 7.65936139427700446 45.06540201843908022, 7.65945796277174473 45.06536902319619031, 7.6594896285359777 45.06537675834471912, 7.65950920813065572 45.06540358964112869, 7.65953090280500604 45.0653959753543063, 7.6595356164111319 45.06539174519496527, 7.6595173058642585 45.06536491389854149, 7.65951041674761246 45.0653650347602337, 7.65948950767428283 45.06533590709160819, 7.65944478884693325 45.06535192126626299, 7.65943777886859145 45.06534122500620754, 7.65941263963592078 45.06535041049507839, 7.65942291288004196 45.0653650347602408, 7.65937239269130377 45.06538231798270289, 7.65936949201061079 45.06537748351487949, 7.65934592397997882 45.06538606469526798, 7.6593410895121572 45.06538328487626899, 7.65932453145986791 45.06538981140782596, 7.65933432125720692 45.06540516084316295))"
457,corridor_7t,T,"Polygon ((7.65917157432100648 45.065201741620875, 7.65911987906172342 45.06521950195535453, 7.65913119070332726 45.06523726228984117, 7.65914197376354533 45.06523557082941522, 7.65918447170675876 45.06529582910709308, 7.65917516867441339 45.06529921202795208, 7.65918700889739945 45.06531612663220443, 7.65924240422636515 45.06529561767453629, 7.65917157432100648 45.065201741620875))"
458,corridor_n_hall,T,"Polygon ((7.65945029528440546 45.06557682297047052, 7.65939072416251499 45.06559791336766096, 7.65940245866922353 45.06561577941840824, 7.65941155026901566 45.06561197363244986, 7.65945225103552652 45.06567286620781232, 7.65944506232871447 45.06567476910078796, 7.65945256818435283 45.06568888222371783, 7.65946287552132699 45.06568407213313066, 7.65946625844217976 45.06569009796090342, 7.65950923210864065 45.06567471624266119, 7.65950658920172422 45.06567038187531438, 7.65951578651779297 45.06566699895446249, 7.65950584918778699 45.06565330869666042, 7.65949686330427149 45.06565727305703462, 7.659455792530796 45.06559791336769649, 7.65946488413058812 45.06559336756778578, 7.65945182817042181 45.065576135814716, 7.65945029528440546 45.06557682297047052))"
459,corridor_n_toil,T,"Polygon ((7.65938379974639272 45.06548421551209316, 7.6593238586175314 45.06550345587446316, 7.65933749601722003 45.06552163907403497, 7.65934468472403207 45.06551973618105933, 7.65936255077478556 45.06554574238511179, 7.6593532477424402 45.06554891387341399, 7.65935811069116657 45.06555567971511778, 7.65936910518393788 45.06555398825469183, 7.65938517405798969 45.06557872586342484, 7.65937883108139062 45.06558168591917024, 7.6593891912765022 45.06559669763045406, 7.65945071814951373 45.06557555437512974, 7.6594405693869545 45.06556107124522725, 7.65943200636854638 45.06556403130097266, 7.65939045987182165 45.06550398445583028, 7.6593996571878904 45.06550049581870354, 7.65938961414160868 45.06548696413528887, 7.65938728838352212 45.06548833844688318, 7.65938379974639272 45.06548421551209316))"
460,techn2,T,"Polygon ((7.6592632545802255 45.06564519217052833, 7.65932634438529991 45.06573317948488011, 7.65938991763715649 45.06571118265629394, 7.65934592397997882 45.06565147697869378, 7.65932731127886424 45.06565824523364228, 7.65930869857775054 45.06563020532027508, 7.6592632545802255 45.06564519217052833))"
