,id,room,grid,speed,lat,lon
43,478,lab_5t,7,18.26,45.06518382,7.659046435
44,478,lab_5t,8,30.43,45.06520142,7.659058262
45,477,7t,0,0.0,45.06528102,7.659048642999999
46,477,7t,1,0.0,45.06529869,7.659060521000001
47,477,7t,2,0.0,45.06531637,7.659072398999999
48,477,7t,3,0.0,45.06527162,7.659076439
49,477,7t,4,0.0,45.065289299999996,7.659088317
50,477,7t,5,0.0,45.06530697,7.659100195
51,477,7t,6,0.0,45.06526223,7.659104235
52,477,7t,7,0.0,45.0652799,7.659116113
53,477,7t,8,0.0,45.06529758,7.659127991
54,476,9t,0,31.04,45.06537818,7.659118072
55,476,9t,1,0.0,45.06539563,7.659129804
56,476,9t,2,16.88,45.06541309,7.659141536
57,476,9t,3,21.25,45.06536873,7.659146027999999
58,476,9t,4,35.06,45.06538619,7.65915776
59,476,9t,5,14.82,45.06540364,7.659169492
60,476,9t,6,7.63,45.06535928,7.659173984
61,476,9t,7,10.41,45.06537674,7.6591857160000005
62,476,9t,8,9.67,45.06539420000001,7.659197447
63,480,4t,0,13.34,45.06532627,7.659407567000001
64,480,4t,1,0.0,45.06529989,7.659389835
65,480,4t,2,0.0,45.065273499999996,7.659372104
66,480,4t,3,47.93,45.06533311,7.6593873189999995
67,480,4t,4,0.0,45.06530673,7.659369588
68,480,4t,5,98.52,45.06528034,7.659351857000001
69,480,4t,6,0.0,45.06533995,7.659367072
70,480,4t,7,0.0,45.06531357,7.659349341
71,480,4t,8,0.0,45.06528719,7.659331609
72,479,11t,0,0.0,45.06547084,7.659187923999999
73,479,11t,1,15.48,45.06548921,7.659200275
74,479,11t,2,32.75,45.06550759,7.659212626
75,479,11t,3,0.0,45.06546155,7.659215406
76,479,11t,4,62.06,45.06547993,7.659227757000001
77,479,11t,5,100.25,45.06549831,7.659240108
78,479,11t,6,81.55,45.06545226,7.659242888
79,479,11t,7,57.93,45.06547064,7.659255239
80,479,11t,8,0.0,45.06548902,7.65926759
81,655,2i,0,36.26,45.06510758,7.658435702999999
82,655,2i,1,40.3,45.06509866,7.658462117000001
83,655,2i,2,36.28,45.06508973,7.658488531000001
84,655,2i,3,38.33,45.06508309,7.658419246
85,655,2i,4,41.22,45.06507417,7.658445661
86,655,2i,5,42.71,45.06506524,7.658472075
87,655,2i,6,38.22,45.06505861,7.65840279
88,655,2i,7,37.74,45.06504968,7.658429204
89,655,2i,8,39.1,45.06504075,7.658455619
90,657,4i,0,37.19,45.06525217,7.65853582
91,657,4i,1,39.39,45.06524281,7.658563491000001
92,657,4i,2,43.22,45.06523346,7.658591163
93,657,4i,3,43.64,45.06521535,7.658511077999999
94,657,4i,4,37.415,45.065205999999996,7.65853875
95,657,4i,5,19.34,45.06519665,7.658566421000001
96,657,4i,6,36.66,45.06517853,7.658486336
97,657,4i,7,41.17,45.06516918,7.658514007999999
98,657,4i,8,42.42,45.06515983,7.65854168
99,659,6i,0,31.310000000000002,45.065385600000006,7.658634837999999
100,659,6i,1,29.490000000000002,45.06537721,7.6586596810000005
101,659,6i,2,14.950000000000001,45.06536881,7.658684523
102,659,6i,3,21.39,45.06535499,7.658614266
103,659,6i,4,28.775,45.0653466,7.658639109
104,659,6i,5,119.05,45.06533820000001,7.658663951
105,659,6i,6,64.245,45.06532438,7.6585936939999995
106,659,6i,7,30.09,45.06531599,7.658618537000001
107,659,6i,8,17.97,45.06530759,7.658643379
108,661,8i,0,37.11,45.06548621,7.6587689910000005
109,661,8i,1,36.12,45.06549441,7.658744727999999
110,661,8i,2,31.26,45.06550261,7.658720466
111,661,8i,3,30.02,45.06551767,7.658790129
112,661,8i,4,36.71,45.06552587,7.6587658670000005
113,661,8i,5,34.83,45.06553407,7.658741603999999
114,661,8i,6,90.19,45.06554912,7.658811267000001
115,661,8i,7,36.56,45.06555732,7.658787005
116,661,8i,8,34.6,45.06556552,7.658762743
117,663,10i,0,19.89,45.06560185,7.658853969
118,663,10i,1,39.27,45.06561003,7.658829751
119,663,10i,2,36.22,45.06561821,7.658805532000001
120,663,10i,3,31.595,45.06562958,7.65887261
121,663,10i,4,36.78,45.06563777,7.658848392
122,663,10i,5,46.45,45.06564595,7.658824172999999
123,663,10i,6,32.839999999999996,45.06565732,7.658891251
124,663,10i,7,38.97,45.06566551,7.658867033
125,663,10i,8,53.445,45.06567369,7.658842814
126,665,12i,0,58.48,45.06581536,7.658936219
127,665,12i,1,37.61,45.06580487,7.658967242
128,665,12i,2,35.87,45.06579439,7.658998264
129,665,12i,3,82.61,45.06577973,7.658912276000001
130,665,12i,4,43.4,45.06576925,7.658943299
131,665,12i,5,48.8,45.06575876,7.6589743210000005
132,665,12i,6,18.1,45.065744099999996,7.658888333999999
133,665,12i,7,27.345,45.06573362,7.658919356
134,665,12i,8,32.085,45.06572314,7.658950377999999
135,664,11i,0,30.21,45.06585597,7.658595846
136,664,11i,1,33.18,45.06586684,7.658563687000001
137,664,11i,2,49.32,45.0658777,7.658531527999999
138,664,11i,3,35.305,45.06588685,7.658616599
139,664,11i,4,42.285,45.06589772,7.65858444
140,664,11i,5,42.64,45.06590858,7.658552281
141,664,11i,6,39.364999999999995,45.06591773,7.658637351
142,664,11i,7,74.565,45.0659286,7.6586051920000005
143,664,11i,8,42.37,45.06593946,7.658573033
144,662,9i,0,28.93,45.06573682,7.658492366
145,662,9i,1,40.96,45.06574819,7.6584587189999995
146,662,9i,2,47.89,45.06575956,7.658425071
